id,created,status,error,parentid,trackerx,trackery,lp1h,lp2h,lp1w,lp2w,rp1h,rp2h,rp1w,rp2w,fw1,f2w,fw3,fw4,edge1,edge2
LIGHT-AND-WHAT-IT-DOES-00071,2020-03-25T18:01:26.361Z,pass,,1,251,530,63,79,69,80,0,-0.999699,0,-0.00252586,724,724,725,725,1,0
LIGHT-AND-WHAT-IT-DOES-00072,2020-03-25T18:01:26.511Z,pass,,1,244,264,63,79,69,80,0,-0.999699,0,-0.00252586,724,724,725,725,0,1
LIGHT-AND-WHAT-IT-DOES-00073,2020-03-25T18:01:26.632Z,pass,,1,250,528,57,79,68,81,0,-0.999699,0,-0.00252586,726,726,725,725,1,438
LIGHT-AND-WHAT-IT-DOES-00074,2020-03-25T18:01:26.798Z,pass,,1,242,260,79,79,80,81,0,-0.999699,0,-0.00252586,725,725,724,724,0,1
LIGHT-AND-WHAT-IT-DOES-00075,2020-03-25T18:01:26.953Z,pass,,1,245,529,54,79,61,81,0,-0.999699,0,-0.00252586,724,724,724,724,1,2
LIGHT-AND-WHAT-IT-DOES-00076,2020-03-25T18:01:27.079Z,pass,,1,249,519,63,79,65,82,0,-0.999699,0,-0.00252586,725,725,724,724,1,2
LIGHT-AND-WHAT-IT-DOES-00077,2020-03-25T18:01:27.207Z,pass,,1,260,411,79,79,22,81,0,-0.999699,0,-0.00252586,725,725,724,724,1,2
LIGHT-AND-WHAT-IT-DOES-00078,2020-03-25T18:01:27.367Z,pass,,1,231,226,79,79,82,81,0,-0.999699,0,-0.00252586,724,724,724,724,1,0
LIGHT-AND-WHAT-IT-DOES-00079,2020-03-25T18:01:27.491Z,pass,,1,231,226,79,79,82,81,0,-0.999699,0,-0.00252586,724,724,724,724,1,0
LIGHT-AND-WHAT-IT-DOES-00080,2020-03-25T18:01:27.633Z,pass,,1,246,259,79,79,82,81,0,-0.999699,0,-0.00252586,724,724,725,725,1,438
LIGHT-AND-WHAT-IT-DOES-00081,2020-03-25T18:01:27.786Z,pass,,1,245,521,55,79,66,81,0,-0.999699,0,-0.00252586,725,725,724,724,1,0
LIGHT-AND-WHAT-IT-DOES-00082,2020-03-25T18:01:27.926Z,pass,,1,242,249,79,79,81,82,0,-0.999699,0,-0.00252586,724,724,723,723,1,0
